Location	Name	Citation	Type	Date_BP	Date_error	RSL	RSL_error	RSL_min	RSL_min_error	RSL_max	RSL_max_error	ID
Caesarea	Well	(Sivan et al. 2004)	Well	1095	105	-9	16					77
Caesarea	Well	(Sivan et al. 2004)	Well	1095	105	-10	16					78
Caesarea	Well	(Sivan et al. 2004)	Well	1095	105	-9	16					79
Caesarea	Well	(Sivan et al. 2004)	Well	1095	105	-8	16					80
Caesarea	Well	(Sivan et al. 2004)	Well	1095	105	-7	16					81
Caesarea	Well	(Sivan et al. 2004)	Well	1095	105	-10	16					82
Sedot Yam	Dendropoma petraeum	(Sivan et al. 2010)	Vermetid Core	1115	115	-12	22					83
Caesarea	Well	(Sivan et al. 2004)	Well	1255	55	20	16					84
Caesarea	Well	(Sivan et al. 2004)	Well	1255	55	4	16					85
Caesarea	Well	(Sivan et al. 2004)	Well	1350	100	-2	16					86
Caesarea	Well	(Sivan et al. 2004)	Well	1350	100	0	16					87
Caesarea	Well	(Sivan et al. 2004)	Well	1395	150	10	16					88
Caesarea	Well	(Sivan et al. 2004)	Well	1400	150	15	16					89
Caesarea	Well	(Sivan et al. 2004)	Well	1400	150	11	16					90
Caesarea	Well	(Sivan et al. 2004)	Well	1400	150	13	16					91
Caesarea	Well	(Sivan et al. 2004)	Well	1400	150	14	16					92
Caesarea	Well	(Sivan et al. 2004)	Well	1400	50	33	16					93
Caesarea	Well	(Sivan et al. 2004)	Well	1400	50	0	16					94
Taninim	Watermill	(Vunsh 2014)	Watermill	1445	14					42	11	95
Taninim	Watermill	(Vunsh 2014)	Watermill	1445	14					45	11	96
Caesarea	Well	(Sivan et al. 2004)	Well	1450	100	-10	16					97
Ashquelon	well	(Nir 1997)	Well	1470	157	0	18					98
Ashquelon	well	(Nir 1997)	Well	1470	157	0	18					99
Ashquelon	well	(Nir 1997)	Well	1470	157	-20	18					100
Caesarea	Well	(Sivan et al. 2004)	Well	1500	250	-1	16					101
